id,x,y
1224,5096,2945
978,5839,4323
132,3638,5016
134,2328,5150
133,3812,5016
193,6585,3271
129,6008,2927
1225,5157,2926
130,6008,2205
1746,8077,2037
42,3406,4221
1747,3586,5032
1748,2061,5132
17,5157,3097
1718,2830,2034
137,2475,5150
341,2683,2068
41,3812,4219
271,4299,2364
273,4298,3281
176,1907,3873
274,1538,2812
1749,2910,3871
338,1539,3873
1755,3169,5032
346,2683,2364
422,3322,2629
344,3322,3280
1751,5157,3785
1750,1908,3776
1753,4867,3543
40,4140,4673
23,4297,3542
1752,4861,3280
639,2452,4554
1768,7255,2037
1766,5157,4147
1767,5509,4323
1764,5364,2926
1763,6103,2926
1715,461,2528
1770,1898,4555
1771,461,3623
1772,460,2672
418,1538,4205
433,1547,4753
194,6585,2927
147,2199,3085
494,6905,3844
173,1935,3703
330,4298,2629
410,4923,2629
348,3322,2364
424,2683,2630
270,4297,2948
43,4202,4216
434,1668,4752
465,4013,5016
342,2683,3280
283,1539,3273
141,1934,3085
148,2199,3704
175,2199,3872
136,2474,5032
910,6586,3665
912,6586,3845
719,6883,3360
640,1668,5000
642,1547,5000
641,1668,5119
643,1546,5115
1300,1816,3873
1221,4946,3543
809,461,3273
922,848,2813
538,3530,4674
1539,2735,4210
1218,5157,3853
1282,3322,2034
526,2683,3503
530,3322,3503
536,2683,3872
537,2452,3873
1536,2776,4667
1537,2475,4667
1538,2451,4209
541,3812,4673
525,3810,3854
1099,6883,3843
1097,5157,4324
915,6179,3844
1098,6745,3844
1101,6745,3665
1222,4945,3277
841,848,3273
918,1538,3085
1540,6173,4525
1112,4923,2364
721,6882,2388
722,6985,2317
1219,4945,3853
528,2983,3854
1542,4579,3854
1549,3697,2143
1646,461,4117
1544,4578,4310
1550,3809,2215
1555,2253,5133
1573,7833,2037
1551,3809,2036
1556,4013,5107
1716,6180,4324
1541,5839,4525
1624,6883,2926
1604,1816,4271
1605,1816,3962
1606,1816,4407
1560,3941,2860
1569,6985,2038
1547,2276,2069
1572,8076,2026
478,1385,4555
1223,4945,2944
426,1546,4555
427,2132,4555
2757,4174,2036
2759,3808,2117
2760,4299,2294
2766,4298,3146
2770,4299,2137
2771,4298,2499
2776,4923,2499
2778,3921,3854
2780,3697,3854
2781,3414,3853
1103,5846,2036
2783,2683,3143
2784,2683,2216
2785,2683,2491
2791,2785,2364
2792,3222,2364
2793,3322,2284
2794,3322,2134
2798,2683,2761
2801,4298,2760
2804,3229,3503
2807,3322,3582
2765,4295,3434
2811,2683,3754
2813,2124,3873
2815,2683,3387
2817,2452,4124
2818,2540,4209
2820,2452,4305
2769,4805,2035
1102,6008,2037
2812,2289,3873
2819,2370,3873
716,6199,2037
2790,3322,2498
2809,4428,3542
2762,6868,2037
2777,4923,2277
2800,4428,3280
1559,3942,2158
1280,4299,2036
1109,5559,2037
1279,4924,2037
2768,4923,2148
1278,3696,2036
2797,3210,2034
2806,3177,3280
2799,2533,2069
2795,3623,2035
2788,3187,2629
2789,2779,2630
2782,2986,2034
2796,3396,2034
2779,4195,3854
2810,3229,3854
2816,2575,4667
1110,4297,3853
2821,2452,3974
2822,2559,3872
2827,2683,3620
2828,2452,4431
2829,1988,3873
2805,3322,3389
531,3321,3853
2826,2937,5031
2814,2475,4802
2825,2473,4921
2833,3922,5016
2834,3812,4938
2838,3812,4358
2840,3723,5015
2841,3812,4104
2835,3811,3952
2843,4670,3853
2844,4494,3853
2845,4579,3949
2846,4854,3854
2848,5945,4324
2851,6180,4220
2852,5157,3929
1769,6180,4018
2830,3810,4768
2831,3702,4673
2832,3919,4674
2837,3812,4568
2842,5051,3852
2853,6745,3749
2854,6665,3664
2855,6585,3749
2856,6586,3595
2857,6458,3844
2858,6666,3844
2859,6823,3844
2860,6586,2987
2861,6654,2926
2862,6823,2926
2863,6883,2844
2864,6883,3016
2867,5246,2926
2869,6883,3791
2872,1816,4062
1609,1520,4407
2874,848,3857
2875,848,3359
2878,953,3738
2879,534,3273
2881,761,3273
2882,848,3182
2883,948,3273
2871,2324,4555
2763,6985,2129
2764,7088,2037
2866,5910,2927
2865,6510,2926
2870,6007,2822
2849,5839,4419
2850,5717,4323
2868,5157,3003
2847,4945,3766
2756,4370,3854
2823,2786,3871
2836,4009,4218
2839,3615,4220
2873,1538,2958
2877,847,3637
2824,2551,5032
2876,461,3354
2880,461,3167
2884,1538,3359
2885,1538,3182
2886,1435,3273
2887,1538,3636
2888,1450,3738
2889,1539,3950
2890,1672,3873
284,847,4204
331,1539,3738
2891,1645,4555
2892,1546,4654
2893,1546,4863
2894,1668,4863
2896,2062,3085
2898,1848,3085
2899,1635,3085
2900,1934,3592
2901,2199,3592
2902,2199,3793
2903,2063,3704
2904,8297,2039
2906,7544,2037
2907,6641,2037
2908,6405,2037
2911,4601,2364
2912,4601,2629
2913,4600,2036
2925,6024,4525
1557,3942,2036
2758,4037,2036
2761,4405,2364
2767,4406,2036
2772,4821,2629
2773,4824,2364
2774,4406,2629
2926,5340,4323
2786,3874,2036
2787,3749,2036
2914,5743,2926
2915,5531,2926
2916,6008,2382
2917,6007,2629
2775,5050,2037
2910,5302,2036
2918,6310,3844
2919,6883,3664
2920,6585,3132
2921,6585,3427
2922,6883,3203
2923,6883,3521
2924,6310,2926
2927,6882,2698
2928,6882,2531
2929,5157,3625
2930,5156,3467
2931,5157,3308
2932,4945,3089
2933,4945,3653
2934,4945,3411
2935,4643,3280
2936,4642,3542
2937,3942,2712
2938,3941,2338
2939,3941,2510
2940,3514,2035
2941,3008,2364
2942,3052,2629
2943,2916,2629
2944,2682,2955
289,848,3736
2945,2977,3280
2946,3005,3502
2947,1933,3464
2948,1538,3512
2949,2198,3311
2950,1934,3310
2951,2199,3464
2895,2199,3198
2897,1933,3190
2952,3553,3854
2953,4056,3854
2954,3101,3854
2955,4579,4089
2956,4578,4205
2957,848,3060
2958,998,2812
2959,1350,2812
2960,1157,2812
2961,848,2929
2962,1193,3273
2963,1212,3737
2964,1326,4204
2965,1067,4204
2967,848,3504
2968,3360,5032
2969,2690,5032
2970,461,2844
2971,461,3025
2972,461,3952
2973,461,3785
2974,461,3484
2975,645,3273
2966,848,4023
2976,1932,2068
2977,4297,3688
2978,6100,4324
2802,2745,3502
2803,2746,3279
2808,3321,3746
44,2983,5031
1316,6211,4324
495,1764,2066
483,8663,2039
1570,8476,2037
